kind,name,width,height,format,ppu,pivotX,pivotY,rectX,rectY,rectW,rectH,sourceTexture,category
texture,Splash Screen Unity Logo,2048,1024,12,,,,,,,,,other
texture,LDR_LLL1_9,16,16,1,,,,,,,,,other
texture,Medium01,512,512,1,,,,,,,,,other
texture,LDR_LLL1_23,16,16,1,,,,,,,,,other
texture,LDR_LLL1_2,16,16,1,,,,,,,,,other
texture,LDR_LLL1_17,16,16,1,,,,,,,,,other
texture,LDR_LLL1_31,16,16,1,,,,,,,,,other
texture,LDR_LLL1_25,16,16,1,,,,,,,,,other
texture,LDR_LLL1_4,16,16,1,,,,,,,,,other
texture,LDR_LLL1_6,16,16,1,,,,,,,,,other
texture,LDR_LLL1_14,16,16,1,,,,,,,,,other
texture,LDR_LLL1_15,16,16,1,,,,,,,,,other
texture,Medium05,512,512,1,,,,,,,,,other
texture,SearchTex,64,16,1,,,,,,,,,other
texture,FalloffLookupTexture,2048,128,4,,,,,,,,,other
texture,Large02,512,512,1,,,,,,,,,other
texture,Thin01,512,512,1,,,,,,,,,other
texture,LDR_LLL1_3,16,16,1,,,,,,,,,other
texture,LDR_LLL1_0,16,16,1,,,,,,,,,other
texture,LDR_LLL1_30,16,16,1,,,,,,,,,other
texture,LDR_LLL1_10,16,16,1,,,,,,,,,other
texture,Medium03,512,512,1,,,,,,,,,other
texture,LDR_LLL1_16,16,16,1,,,,,,,,,other
texture,LDR_LLL1_24,16,16,1,,,,,,,,,other
texture,Medium06,512,512,1,,,,,,,,,other
texture,Medium04,512,512,1,,,,,,,,,other
texture,LDR_LLL1_12,16,16,1,,,,,,,,,other
texture,LDR_LLL1_7,16,16,1,,,,,,,,,other
texture,LDR_LLL1_27,16,16,1,,,,,,,,,other
texture,LDR_LLL1_20,16,16,1,,,,,,,,,other
texture,LDR_LLL1_26,16,16,1,,,,,,,,,other
texture,AreaTex,160,560,3,,,,,,,,,other
texture,LDR_LLL1_18,16,16,1,,,,,,,,,other
texture,LDR_LLL1_19,16,16,1,,,,,,,,,other
texture,LDR_LLL1_1,16,16,1,,,,,,,,,other
texture,LDR_LLL1_13,16,16,1,,,,,,,,,other
texture,LDR_LLL1_21,16,16,1,,,,,,,,,other
texture,Thin02,512,512,1,,,,,,,,,other
texture,LDR_LLL1_0,64,64,1,,,,,,,,,other
texture,LDR_LLL1_5,16,16,1,,,,,,,,,other
texture,LDR_LLL1_8,16,16,1,,,,,,,,,other
texture,Medium02,512,512,1,,,,,,,,,other
texture,LDR_LLL1_22,16,16,1,,,,,,,,,other
texture,BayerMatrix,4,4,1,,,,,,,,,other
texture,LDR_LLL1_29,16,16,1,,,,,,,,,other
texture,LDR_LLL1_11,16,16,1,,,,,,,,,other
texture,Large01,512,512,1,,,,,,,,,other
texture,LDR_LLL1_28,16,16,1,,,,,,,,,other
texture,sactx-0-1024x1024-Uncompressed-SpriteAtlas-059b2f3a,1024,1024,4,,,,,,,,,other
texture,sactx-0-1024x1024-Uncompressed-SpriteAtlas-059b2f3a?_NormalMap,1024,1024,4,,,,,,,,,normalmap
texture,SeaGrass,88,26,4,,,,,,,,,other
texture,PlayerHitRightAnimation,300,50,4,,,,,,,,,other
texture,WindmillIndoorNormalMap,64,64,12,,,,,,,,,normalmap
texture,ProcessingUI,200,200,12,,,,,,,,,ui
texture,SnowBlock6_NorGrid,160,48,4,,,,,,,,,block
texture,FloatingSkullNormalMap,288,128,4,,,,,,,,,normalmap
texture,FloatingSkullMob,288,128,4,,,,,,,,,mob
texture,PlayerHitLeftAnimation,300,50,4,,,,,,,,,other
texture,SnowBlock4,160,48,4,,,,,,,,,block
texture,BedNormalMap,56,24,4,,,,,,,,,normalmap
texture,PlayerFullWalkingAnimation,150,400,4,,,,,,,,,other
texture,TreeExpansion,500,500,4,,,,,,,,,tree
texture,Hitting TR,48,18,4,,,,,,,,,other
texture,Player F,104,20,4,,,,,,,,,other
texture,Hitting SR,52,18,4,,,,,,,,,other
texture,SoilBlockIcon,30,30,4,,,,,,,,,block
texture,MechanicsUI,200,200,4,,,,,,,,,ui
texture,ISO-CORE Soil NormalMap,200,200,4,,,,,,,,,normalmap
texture,Deer_Idle_64x64,512,512,4,,,,,,,,,mob
texture,FloatingSkullAnimationFront,288,32,12,,,,,,,,,other
texture,TeleportPointNormalMap,264,80,4,,,,,,,,,normalmap
texture,ISO-CORE Paths,200,200,4,,,,,,,,,path
texture,LightTest,400,400,4,,,,,,,,,other
texture,SlimeAnimation,330,200,4,,,,,,,,,mob
texture,Wipe Pattern - Circle,64,64,1,,,,,,,,,other
texture,DirtBlockRocksAndSeaGrass,160,48,4,,,,,,,,,block
texture,SewingStationNormalMap,200,100,4,,,,,,,,,normalmap
texture,Sparkle,256,256,12,,,,,,,,,other
texture,White1px,1,1,3,,,,,,,,,other
texture,PlayerStatsUI,80,60,4,,,,,,,,,ui
texture,InfoUI,300,300,4,,,,,,,,,ui
texture,selected cell,40,30,4,,,,,,,,,other
texture,Chopping TL,128,32,4,,,,,,,,,other
texture,DirtBlock_NorGrid,160,48,4,,,,,,,,,block
texture,GrassBlock3_NorGrid,160,48,4,,,,,,,,,block
texture,TestFish,176,22,4,,,,,,,,,mob
texture,Player SR,96,19,4,,,,,,,,,other
texture,ExtractorNormalMap,24,40,4,,,,,,,,,normalmap
texture,TransparentBlock,160,48,4,,,,,,,,,block
texture,Sunny Days - Seamless,512,256,10,,,,,,,,,other
texture,Image2 - Kopie,500,500,12,,,,,,,,,other
texture,Hitting BL,60,18,4,,,,,,,,,other
texture,Hitting TL,48,18,4,,,,,,,,,other
texture,Fox_Default,384,48,4,,,,,,,,,mob
texture,BlockIcons1,50,70,4,,,,,,,,,block
texture,IronTools,50,100,4,,,,,,,,,tool
