"Path","Category","Subcategory","AssetName","TypeName","BodyTypes","AnimationCount","Animations","VariantCount","Variants","RecolorMaterial","RecolorPalettes","LayerCount","LayerPaths","Licenses","AuthorCount"
"arms/arms_armour.json","arms","","Armour","arms","female;male;muscular;pregnant;teen","10","spellcast;thrust;walk;slash;shoot;hurt;watering;climb;idle;emote","0","","metal","ulpc;lpcr;all.lpcr","1","arms/armour/plate/male/;arms/armour/plate/thin/","CC-BY-SA 3.0;GPL 3.0;OGA-BY 3.0","5"
"arms/bauldron.json","arms","","Bauldron","bauldron","female;male;muscular;pregnant;teen","10","spellcast;thrust;walk;slash;shoot;hurt;watering;climb;idle;emote","0","","cloth","ulpc;metal.ulpc;all.lpcr","1","shoulders/bauldron/male/;shoulders/bauldron/thin/","CC-BY-SA 3.0;GPL 2.0;GPL 3.0;OGA-BY 3.0","2"
"arms/arms_gloves.json","arms","","Gloves","gloves","female;male;muscular;pregnant;teen","17","spellcast;thrust;walk;slash;shoot;hurt;watering;idle;jump;run;sit;emote;climb;combat;1h_slash;1h_backslash;1h_halfslash","0","","metal","ulpc;cloth.ulpc;lpcr;all.lpcr","1","arms/hands/gloves/male/;arms/hands/gloves/thin/","CC-BY-SA 3.0;GPL 3.0;OGA-BY 3.0","5"
"arms/arms_hands_ring_stud.json","arms","","Stud Ring","ring","female;male;muscular;pregnant;teen","13","spellcast;thrust;walk;slash;shoot;hurt;watering;climb;idle;jump;sit;emote;run","0","","cloth","ulpc;metal.ulpc;all.lpcr","1","arms/hands/ring/stud/male/;arms/hands/ring/stud/thin/","CC0","2"
"arms/shoulders/shoulders_epaulets.json","arms","shoulders","Epaulets","shoulders","female;male;muscular;pregnant;teen","17","spellcast;thrust;walk;slash;shoot;hurt;watering;idle;jump;run;sit;emote;climb;combat;1h_slash;1h_backslash;1h_halfslash","0","","cloth","ulpc;metal.ulpc;all.lpcr","1","shoulders/epaulets/male/;shoulders/epaulets/thin/","CC-BY-SA 3.0;OGA-BY 3.0","2"
"arms/shoulders/shoulders_legion.json","arms","shoulders","Legion","shoulders","female;male;muscular;pregnant;teen","7","spellcast;thrust;walk;slash;shoot;hurt;idle","0","","metal","ulpc;lpcr;all.lpcr","1","shoulders/legion/female/;shoulders/legion/male/","CC-BY-SA 3.0;GPL 2.0;GPL 3.0;OGA-BY 3.0","1"
"arms/shoulders/shoulders_mantal.json","arms","shoulders","Mantal","shoulders","female;male;muscular;pregnant;teen","13","spellcast;thrust;walk;slash;shoot;hurt;watering;climb;idle;jump;sit;emote;run","0","","cloth","ulpc;all.lpcr","1","shoulders/mantal/male/;shoulders/mantal/thin/","GPL 3.0;OGA-BY 3.0","2"
"arms/shoulders/shoulders_pauldrons.json","arms","shoulders","Pauldrons","shoulders","female;male;muscular;pregnant;teen","17","spellcast;thrust;walk;slash;shoot;hurt;watering;climb;idle;jump;sit;emote;run;combat;1h_slash;1h_backslash;1h_halfslash","0","","cloth","ulpc;metal.ulpc;all.lpcr","1","shoulders/pauldrons/male/;shoulders/pauldrons/thin/","CC-BY-SA 3.0;GPL 3.0;OGA-BY 3.0","4"
"arms/wrists/arms_bracers.json","arms","wrists","Bracers","bracers","female;male;muscular;pregnant;teen","10","spellcast;thrust;walk;slash;shoot;hurt;watering;climb;idle;emote","0","","metal","ulpc;cloth.ulpc;lpcr;all.lpcr","1","arms/bracers/male/;arms/bracers/thin/","CC-BY-SA 3.0;GPL 3.0;OGA-BY 3.0","3"
"arms/wrists/wrists_cuffs.json","arms","wrists","Cuffs","wrists","female;male;muscular;pregnant;teen","13","spellcast;thrust;walk;slash;shoot;hurt;watering;idle;climb;jump;sit;emote;run","0","","cloth","ulpc;all.lpcr","1","arms/wrists/cuffs/male/;arms/wrists/cuffs/thin/","OGA-BY 3.0","2"
