name,category,recHeightUnits,canvasW,canvasH,contentW,contentH,contentFracH,topPad,bottomPad,padPct
alchemy_table,furniture,0.85,128,128,122,125,0.977,2,1,0.023
anvil,furniture,0.85,128,128,80,110,0.859,11,7,0.141
bar_counter,furniture,0.85,128,128,119,118,0.922,4,6,0.078
boat_rowing,furniture,0.85,128,128,118,91,0.711,17,20,0.289
book_stack,furniture,0.85,128,128,106,109,0.852,10,9,0.148
brazier,campobject,1.1,128,128,88,109,0.852,14,5,0.148
bush,bush,0.6,32,32,31,23,0.719,9,0,0.281
cactus_arm,bush,0.6,36,41,36,41,1.0,0,0,0.0
cactus_barrel,furniture,0.85,28,27,28,27,1.0,0,0,0.0
cactus_barrel2,furniture,0.85,27,27,27,27,1.0,0,0,0.0
cactus_dead,bush,0.6,35,41,35,41,1.0,0,0,0.0
cactus_pad,bush,0.6,18,25,18,25,1.0,0,0,0.0
cactus_pear,bush,0.6,36,41,36,41,1.0,0,0,0.0
cactus_round,bush,0.6,21,21,21,21,1.0,0,0,0.0
cactus_small,bush,0.6,14,21,14,21,1.0,0,0,0.0
cactus_tall,bush,0.6,37,41,37,41,1.0,0,0,0.0
campfire_new,campobject,1.1,128,128,88,70,0.547,32,26,0.453
candle_lantern,campobject,1.1,128,128,128,128,1.0,0,0,0.0
cooking_station,unclassified,0.7,128,128,112,113,0.883,9,6,0.117
copper_vein,smallrock,0.5,32,32,18,20,0.625,10,2,0.375
crafting_table,furniture,0.85,128,128,124,118,0.922,6,4,0.078
dock_post,tallmarker,1.4,128,128,72,107,0.836,10,11,0.164
dungeon_chest_wood,furniture,0.85,128,128,103,99,0.773,12,17,0.227
fence_rope_r0c0,fence,0.9,12,12,4,12,1.0,0,0,0.0
fence_rope_r0c1,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r0c2,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r0c3,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r0c4,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r0c5,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r0c6,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r1c0,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r1c1,fence,0.9,12,12,12,3,0.25,5,4,0.75
fence_rope_r1c2,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r1c5,fence,0.9,12,12,4,12,1.0,0,0,0.0
fence_rope_r2c0,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r2c1,fence,0.9,12,12,12,3,0.25,9,0,0.75
fence_rope_r2c2,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r2c3,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r2c4,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r2c5,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r2c6,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r3c5,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r3c6,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r4c5,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r4c6,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r5c0,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r5c1,fence,0.9,12,12,12,3,0.25,9,0,0.75
fence_rope_r5c2,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r5c3,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r5c4,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r5c5,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r5c6,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_rope_r6c0,fence,0.9,12,12,4,12,1.0,0,0,0.0
fence_rope_r6c2,fence,0.9,12,12,4,12,1.0,0,0,0.0
fence_rope_r6c3,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r6c5,fence,0.9,12,12,8,12,1.0,0,0,0.0
fence_rope_r7c0,fence,0.9,12,12,3,2,0.167,0,10,0.833
fence_rope_r7c2,fence,0.9,12,12,3,2,0.167,0,10,0.833
fence_rope_r7c3,fence,0.9,12,12,3,2,0.167,0,10,0.833
fence_rope_r7c5,fence,0.9,12,12,3,2,0.167,0,10,0.833
fence_stone_r0c0,smallrock,0.5,12,12,6,12,1.0,0,0,0.0
fence_stone_r0c1,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r0c2,smallrock,0.5,12,12,12,6,0.5,6,0,0.5
fence_stone_r0c3,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r0c4,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r0c5,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r0c6,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r0c7,smallrock,0.5,12,12,6,12,1.0,0,0,0.0
fence_stone_r1c0,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r1c1,smallrock,0.5,12,12,12,5,0.417,6,1,0.583
fence_stone_r1c2,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r1c3,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r1c5,smallrock,0.5,12,12,6,12,1.0,0,0,0.0
fence_stone_r1c6,smallrock,0.5,12,12,4,12,1.0,0,0,0.0
fence_stone_r1c7,smallrock,0.5,12,12,2,12,1.0,0,0,0.0
fence_stone_r2c0,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r2c1,smallrock,0.5,12,12,12,6,0.5,6,0,0.5
fence_stone_r2c2,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r2c3,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r2c4,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r2c5,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r2c6,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r3c1,smallrock,0.5,12,12,10,1,0.083,0,11,0.917
fence_stone_r3c5,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r3c6,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r4c5,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r4c6,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r5c0,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r5c1,smallrock,0.5,12,12,12,8,0.667,3,1,0.333
fence_stone_r5c2,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r5c3,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r5c4,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r5c5,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r5c6,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r6c0,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r6c1,smallrock,0.5,12,12,3,5,0.417,6,1,0.583
fence_stone_r6c2,smallrock,0.5,12,12,3,5,0.417,6,1,0.583
fence_stone_r6c3,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r6c4,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r6c5,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r7c0,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r7c3,smallrock,0.5,12,12,9,12,1.0,0,0,0.0
fence_stone_r7c4,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_stone_r7c5,smallrock,0.5,12,12,12,12,1.0,0,0,0.0
fence_wood_r0c0,fence,0.9,12,12,6,12,1.0,0,0,0.0
fence_wood_r0c1,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r0c2,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r0c3,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r0c4,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r0c5,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r0c6,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r0c7,fence,0.9,12,12,6,12,1.0,0,0,0.0
fence_wood_r1c0,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r1c1,fence,0.9,12,12,12,8,0.667,2,2,0.333
fence_wood_r1c2,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r1c5,fence,0.9,12,12,6,12,1.0,0,0,0.0
fence_wood_r1c7,fence,0.9,12,12,2,12,1.0,0,0,0.0
fence_wood_r2c0,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r2c1,fence,0.9,12,12,12,7,0.583,5,0,0.417
fence_wood_r2c2,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r2c3,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r2c4,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r2c5,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r2c6,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r3c1,fence,0.9,12,12,12,1,0.083,0,11,0.917
fence_wood_r3c5,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r3c6,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r4c1,fence,0.9,12,12,12,1,0.083,11,0,0.917
fence_wood_r4c5,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r4c6,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r5c0,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r5c1,fence,0.9,12,12,12,7,0.583,0,5,0.417
fence_wood_r5c2,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r5c3,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r5c4,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r5c5,fence,0.9,12,12,12,12,1.0,0,0,0.0
