kind,id,units_tall,x_player,band,band_lo,band_hi,flag
node,tree,3.0,2.73,canopy_tree,2.8,3.8,
node,rock,0.9,0.82,rock,0.44,1.0,
node,bush,0.7,0.64,bush,0.55,0.9,
node,copper_vein,0.95,0.86,rock,0.44,1.0,
node,pine,3.2,2.91,canopy_tree,2.8,3.8,
node,flower,0.3,0.27,ground_cover,0.1,0.35,
node,stump,0.5,0.45,stump,0.3,0.6,
node,log,0.4,0.36,stump,0.3,0.6,
node,shore_stone,0.7,0.64,rock,0.44,1.0,
node,tuft,0.3,0.27,ground_cover,0.1,0.35,
node,flower_tulip,0.3,0.27,ground_cover,0.1,0.35,
node,cactus,1.5,1.36,cactus,1.2,2.2,
node,dead_scrub,0.6,0.55,bush,0.55,0.9,
placeable,workbench,0.9,0.82,unbanded,,,
placeable,chest,0.8,0.73,unbanded,,,
placeable,lantern,0.9,0.82,unbanded,,,
placeable,furnace,1.0,0.91,unbanded,,,
placeable,campfire,0.5,0.45,unbanded,,,
placeable,fireplace,0.8,0.73,unbanded,,,
placeable,tavern_door,1.2,1.09,unbanded,,,
placeable,tavern_plot,0.35,0.32,unbanded,,,
placeable,tavern_building,3.2,2.91,building,2.75,4.4,
placeable,library_plot,0.35,0.32,unbanded,,,
placeable,library_building,3.4,3.09,building,2.75,4.4,
placeable,rootcellar_portal,1.1,1.0,unbanded,,,
mob,predator_plant_1,1.1,1.0,predator_plant,1.1,1.25,OFF
mob,predator_plant_2,1.16,1.06,predator_plant,1.1,1.25,
mob,predator_plant_3,1.27,1.15,predator_plant,1.1,1.25,OFF
mob,slime,0.38,0.34,slime,0.35,0.7,
mob,slime_boss,0.38,0.34,slime,0.35,0.7,
mob,slime_common,0.38,0.34,slime,0.35,0.7,
mob,slime_rare,0.38,0.34,slime,0.35,0.7,
decoration_art,bush,0.72,0.65,bush,0.55,0.9,
decoration_art,copper_vein,0.62,0.57,rock,0.44,1.0,
decoration_art,fence_rope_r0c0,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r0c1,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r0c2,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r0c3,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r0c4,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r0c5,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r0c6,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r1c0,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r1c1,0.12,0.11,unbanded,,,
decoration_art,fence_rope_r1c2,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r1c5,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r2c0,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r2c1,0.12,0.11,unbanded,,,
decoration_art,fence_rope_r2c2,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r2c3,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r2c4,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r2c5,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r2c6,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r3c5,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r3c6,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r4c5,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r4c6,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r5c0,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r5c1,0.12,0.11,unbanded,,,
decoration_art,fence_rope_r5c2,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r5c3,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r5c4,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r5c5,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r5c6,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r6c0,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r6c2,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r6c3,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r6c5,0.5,0.45,unbanded,,,
decoration_art,fence_rope_r7c0,0.08,0.08,unbanded,,,
decoration_art,fence_rope_r7c2,0.08,0.08,unbanded,,,
decoration_art,fence_rope_r7c3,0.08,0.08,unbanded,,,
decoration_art,fence_rope_r7c5,0.08,0.08,unbanded,,,
decoration_art,fence_stone_r0c0,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r0c1,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r0c2,0.25,0.23,unbanded,,,
decoration_art,fence_stone_r0c3,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r0c4,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r0c5,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r0c6,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r0c7,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r1c0,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r1c1,0.21,0.19,unbanded,,,
decoration_art,fence_stone_r1c2,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r1c3,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r1c5,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r1c6,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r1c7,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r2c0,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r2c1,0.25,0.23,unbanded,,,
decoration_art,fence_stone_r2c2,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r2c3,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r2c4,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r2c5,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r2c6,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r3c1,0.04,0.04,unbanded,,,
decoration_art,fence_stone_r3c5,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r3c6,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r4c5,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r4c6,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r5c0,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r5c1,0.33,0.3,unbanded,,,
decoration_art,fence_stone_r5c2,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r5c3,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r5c4,0.5,0.45,unbanded,,,
